Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,Alex,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,3/14/2019,1:08:00 PM,Ewallet,522.83,,26.1415,9.1
226-31-3081,,Naypyitaw,,,Electronic accessories,,5,3.82,80.22,03/08/2019,10:29:00 AM,Cash,76.4,4.761904762,3.82,9.6
631-41-3108,Alex,Yangon,,Female,Home and lifestyle,46.33,,16.2155,340.5255,3/14/2019,1:23:00 PM,Credit card,,4.761904762,16.2155,7.4
123-19-1176,Alex,,,Female,Health and beauty,58.22,8,23.288,489.048,3/14/2019,8:33:00 PM,Ewallet,465.76,4.761904762,23.288,8.4
373-73-7910,Alex,,Member,,Sports and travel,,7,,634.3785,3/14/2019,10:37:00 AM,,604.17,4.761904762,,5.3
699-14-3026,,,,Female,Electronic accessories,85.39,,29.8865,627.6165,3/25/2019,6:30:00 PM,,597.73,4.761904762,29.8865,4.1
355-53-5943,Alex,Yangon,Member,Female,,68.84,6,20.652,433.692,2/25/2019,2:36:00 PM,Ewallet,413.04,4.761904762,20.652,5.8
315-22-5665,Giza,Naypyitaw,Member,Female,Home and lifestyle,73.56,10,,772.38,2/24/2019,11:38:00 AM,Ewallet,735.6,4.761904762,36.78,8
665-32-9167,Alex,,,Female,Health and beauty,36.26,2,3.626,76.146,01/10/2019,5:15:00 PM,Credit card,,4.761904762,3.626,7.2
692-92-5582,,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.746,2/20/2019,1:27:00 PM,Credit card,,4.761904762,8.226,5.9
351-62-0822,Cairo,Mandalay,,Female,Fashion accessories,,4,2.896,60.816,02/06/2019,6:07:00 PM,,57.92,4.761904762,,4.5
529-56-3974,Cairo,Mandalay,Member,Female,Electronic accessories,25.51,4,5.102,107.142,03/09/2019,5:03:00 PM,Cash,102.04,4.761904762,,6.8
365-64-0515,,Yangon,Member,Female,Electronic accessories,46.95,5,11.7375,246.4875,3/14/2019,10:25:00 AM,,234.75,4.761904762,11.7375,7.1
252-56-2699,,,Member,,Food and beverages,43.19,10,21.595,453.495,3/14/2019,4:48:00 PM,,431.9,4.761904762,21.595,8.2
829-34-3910,Alex,,,,,71.38,,35.69,749.49,3/14/2019,7:21:00 PM,Cash,713.8,4.761904762,35.69,5.7
299-46-1805,Cairo,,Member,Female,Sports and travel,93.72,6,28.116,590.436,1/15/2019,4:19:00 PM,Cash,,4.761904762,28.116,4.5
656-95-9349,Alex,Yangon,Member,Female,Health and beauty,68.93,,24.1255,506.6355,3/14/2019,11:03:00 AM,Credit card,,4.761904762,,4.6
765-26-6951,Alex,Yangon,,Female,Sports and travel,72.61,6,21.783,457.443,3/14/2019,10:39:00 AM,Credit card,435.66,,21.783,6.9
329-62-1586,Alex,Yangon,Member,Female,Food and beverages,54.67,3,8.2005,172.2105,3/14/2019,6:00:00 PM,Credit card,164.01,4.761904762,,8.6
319-50-3348,Cairo,Mandalay,Member,Female,Home and lifestyle,40.3,2,4.03,84.63,03/11/2019,3:30:00 PM,,80.6,4.761904762,4.03,4.4
300-71-4605,,Naypyitaw,Member,Female,Electronic accessories,86.04,5,21.51,451.71,3/14/2019,11:24:00 AM,Ewallet,430.2,4.761904762,21.51,4.8
371-85-5789,,Mandalay,Member,Female,Health and beauty,87.98,,,277.137,03/05/2019,10:40:00 AM,Ewallet,263.94,4.761904762,13.197,5.1
273-16-6619,Cairo,Mandalay,Member,Female,,,,,69.72,3/15/2019,12:20:00 PM,,66.4,4.761904762,3.32,4.4
636-48-8204,,,,,,34.56,,8.64,181.44,2/17/2019,11:15:00 AM,Ewallet,172.8,4.761904762,8.64,9.9
549-59-1358,Alex,Yangon,Member,Female,Sports and travel,88.63,3,13.2945,279.1845,3/14/2019,5:36:00 PM,Ewallet,265.89,4.761904762,13.2945,6
227-03-5010,,Yangon,Member,,Home and lifestyle,52.59,8,21.036,441.756,3/22/2019,7:20:00 PM,Credit card,420.72,4.761904762,,8.5
649-29-6775,Cairo,,Member,,Fashion accessories,33.52,1,1.676,35.196,3/14/2019,3:31:00 PM,Cash,33.52,4.761904762,1.676,6.7
189-17-4241,,Yangon,,Female,Fashion accessories,87.67,2,8.767,184.107,03/10/2019,12:17:00 PM,,175.34,,8.767,7.7
145-94-9061,Cairo,Mandalay,,Female,Food and beverages,88.36,,22.09,463.89,1/25/2019,7:48:00 PM,Cash,441.8,4.761904762,22.09,9.6
848-62-7243,,Yangon,Member,Female,Health and beauty,24.89,9,,235.2105,3/14/2019,3:36:00 PM,,224.01,4.761904762,11.2005,7.4
871-79-8483,Cairo,,Member,,Fashion accessories,94.13,,23.5325,494.1825,2/25/2019,7:39:00 PM,Credit card,470.65,4.761904762,23.5325,4.8
149-71-6266,Cairo,Mandalay,Member,Female,Sports and travel,78.07,9,35.1315,737.7615,3/14/2019,12:43:00 PM,Cash,702.63,4.761904762,35.1315,4.5
640-49-2076,,,,Female,,83.78,,,703.752,01/10/2019,2:49:00 PM,Cash,670.24,4.761904762,,5.1
595-11-5460,Alex,Yangon,,,Health and beauty,96.58,2,9.658,202.818,3/15/2019,10:12:00 AM,,,4.761904762,9.658,5.1
183-56-6882,,Naypyitaw,Member,Female,,99.42,,,417.564,02/06/2019,10:42:00 AM,Ewallet,397.68,4.761904762,19.884,7.5
232-16-2483,,Naypyitaw,,Female,Sports and travel,68.12,,3.406,71.526,01/07/2019,12:28:00 PM,Ewallet,,4.761904762,3.406,6.8
129-29-8530,Alex,,Member,Female,,62.62,5,,328.755,03/10/2019,7:15:00 PM,,,,15.655,7
272-65-1806,Alex,Yangon,,Female,Electronic accessories,60.88,,27.396,575.316,1/15/2019,5:17:00 PM,Ewallet,,,27.396,4.7
333-73-7901,Giza,Naypyitaw,,Female,Health and beauty,54.92,8,21.968,461.328,3/23/2019,1:24:00 PM,,439.36,4.761904762,21.968,7.6
777-82-7220,Cairo,,Member,Female,Home and lifestyle,,8,,253.008,3/14/2019,1:01:00 PM,Cash,,4.761904762,,7.7
280-35-5823,Cairo,,Member,Female,,86.72,1,,91.056,1/17/2019,6:45:00 PM,Ewallet,,,4.336,7.9
554-53-8700,Giza,Naypyitaw,,,Home and lifestyle,56.11,2,5.611,117.831,02/02/2019,10:11:00 AM,Cash,,4.761904762,5.611,6.3
354-25-5821,,Mandalay,,Female,Sports and travel,69.12,6,20.736,435.456,02/08/2019,1:03:00 PM,,414.72,4.761904762,20.736,5.6
