"term","estimate","std.error","statistic","df","p.value"
"(Intercept)",-305.20473450999,16.5892028766222,-18.3977938409621,153.342452104503,1.20650973271604e-40
"Unit_Price",5.94823892707003,0.112683837699958,52.7869750310452,99.9133511219818,8.61667000521916e-75
"Quantity",59.1897991445298,0.922373264188116,64.1711999280783,469.118633469808,2.0729292842552e-234
"Rating",-4.44793631793429,1.59143077946327,-2.79492917652028,305.786144801229,0.00551919962108811
"GenderMale",-6.75392292569005,5.57231091127448,-1.21205062553577,332.91353811948,0.226352504850761
"CityNaypyitaw",1.68234204985387,6.73280489303066,0.249872389974544,314.777116190706,0.802849024875902
"CityYangon",1.20343964190824,6.47395009255278,0.185889545749295,521.312678988124,0.852603687511574
"`Customer type`Normal",1.09070935145862,5.40966612415211,0.20162230467219,510.34190241587,0.840292345556964
"`Product line`Fashion accessories",-1.50126181817008,9.31539070635914,-0.161159297070089,282.727325605724,0.872083036046128
"`Product line`Food and beverages",2.01212043834447,9.54147458085596,0.210881496491286,208.16209203722,0.833186036641296
"`Product line`Health and beauty",1.36053885005783,9.92246553949583,0.137117014379368,191.818066738219,0.891082117599526
"`Product line`Home and lifestyle",4.77481286221682,9.8817748320838,0.483193853670307,169.967998442852,0.629579933749487
"`Product line`Sports and travel",-2.74874780581243,9.30258634707046,-0.295482106078818,379.800770050949,0.767787091382148
